name,region,subregion,side,fused_from
left cuboid,foot,ankle,left,1
right cuboid,foot,ankle,right,1
left metatarsal 1,foot,mid-foot,left,1
left metatarsal 2,foot,mid-foot,left,1
left metatarsal 3,foot,mid-foot,left,1
left metatarsal 4,foot,mid-foot,left,1
left metatarsal 5,foot,mid-foot,left,1
right metatarsal 1,foot,mid-foot,right,1
right metatarsal 2,foot,mid-foot,right,1
right metatarsal 3,foot,mid-foot,right,1
right metatarsal 4,foot,mid-foot,right,1
right metatarsal 5,foot,mid-foot,right,1
left proximal pedal phalanx 1,foot,toes,left,1
left proximal pedal phalanx 2,foot,toes,left,1
left proximal pedal phalanx 3,foot,toes,left,1
left proximal pedal phalanx 4,foot,toes,left,1
left proximal pedal phalanx 5,foot,toes,left,1
right proximal pedal phalanx 1,foot,toes,right,1
right proximal pedal phalanx 2,foot,toes,right,1
right proximal pedal phalanx 3,foot,toes,right,1
right proximal pedal phalanx 4,foot,toes,right,1
right proximal pedal phalanx 5,foot,toes,right,1
left intermediate pedal phalanx 2,foot,toes,left,1
left intermediate pedal phalanx 3,foot,toes,left,1
left intermediate pedal phalanx 4,foot,toes,left,1
left intermediate pedal phalanx 5,foot,toes,left,1
right intermediate pedal phalanx 2,foot,toes,right,1
right intermediate pedal phalanx 3,foot,toes,right,1
right intermediate pedal phalanx 4,foot,toes,right,1
right intermediate pedal phalanx 5,foot,toes,right,1
left distal pedal phalanx 1,foot,toes,left,1
left distal pedal phalanx 2,foot,toes,left,1
left distal pedal phalanx 3,foot,toes,left,1
left distal pedal phalanx 4,foot,toes,left,1
left distal pedal phalanx 5,foot,toes,left,1
right distal pedal phalanx 1,foot,toes,right,1
right distal pedal phalanx 2,foot,toes,right,1
right distal pedal phalanx 3,foot,toes,right,1
right distal pedal phalanx 4,foot,toes,right,1
right distal pedal phalanx 5,foot,toes,right,1
