painting_id,year,title,width,height
b191,1927,"Composition with red, yellow, and blue",520,400
b192,1927,Compositie no. I,350,380
b193,1927,No. I,540,735
b194,1927,No. III,355,380
b195,1927,"Composition with red, blue, and gray",500,660
b196,1927,No. II,352,502
b197,1927,Composition with yellow and blue,395,500
b198,1927,Compositie with yellow and red,350,520
b199,1927,"Composition with yellow, red, and blue",349,378
b200,1927,"Composition with red, yellow, and blue",520,750
b201,1928,"Large composition with red, blue, and yellow",800,1230
b203,1928,"Composition with red, black, blue, yellow, and gray",499,521
b204,1928,"Composition with red, black, blue, and yellow",450,450
b206,1929,Composition,453,451
b207,1929,Composition,505,505
b208,1929,Composition no. I,321,401
b209,1929,Composition no. II,321,403
b210,1929,Composition no. III,454,454
b212,1929,Composition II,450,450
b213,1929,Composition no. III,505,500
b214,1929,Composition no. I,520,520
b215,1929,Composition no. II,520,520
b216,1929,Composition no. IV,515,520
b217,1930,"Composition with red, blue and yellow",460,460
b219,1930,Composition no. II,510,510
b220,1930,Composition no. I,505,505
b221,1930,Composition with yellow,465,460
b222,1930,Composition II,540,726
b223,1930,Composition en blanc et noir I,333,409
b224,1930,Composition en blanc et noir II,505,505
b225,1930,Composition no. II,505,505
b226,1931,Composition no. I,547,825
b227,1931,Composition en couleurs,505,505
b228,1931,Composition no. II,520,520
b230,1932,Composition A,550,550
b231,1932,Composition B,500,500
b232,1932,Composition C,504,502
b233,1932,Composition D,385,420
b234,1932,Composition with yellow and blue,553,555
b235,1932,Composition with blue and yellow,454,454
b236,1932,Composition with yellow and blue,330,413
b237,1932,Composition with double line and yellow,452,452
b238,1933,Composition with double line and yellow and blue,335,410
b239,1933,Composition with red and blue,333,412
b240,1933,Composition with blue and yellow,330,415
b243,1934,"Composition in black and white, with double lines",603,594
b244,1934,Composition no. I,590,1213
b245,1934,Composition no. II,565,590
b252,1935,Composition no. IV blanc-bleu,703,990
b253,1935,Composition A,560,590
b254,1935,Composition B,632,800
b255,1935,Composition (no. I) gris-rouge,550,569
b256,1935,Composition (no. II) bleu-jaune,693,723
b257,1935,Composition (no. III) blanc-jaune,510,1010
b259,1935,Composition with double line and blue,689,711
b260,1935,Composition A (no. I),505,1000
b261,1935,Composition C (no. III),551,562
b262,1936,Composition (A) en rouge et blanc,330,432
b263,1936,"Composition (B), en bleu, jaune et blanc",335,435
b264,1936,Composition with yellow,660,740
b265,1936,"Composition - blanc, rouge et jaune: A",622,800
b266,1936,Composition - blanc et rouge: B,505,515
b267,1936,"Composition in White, Blue and Yellow",685,705
b268,1936,"Composition en blanc, rouge et bleu",803,985
b269,1936,"Composition en blanc, noir et rouge",1040,1020
b271,1937,"Composition en jaune, bleu et blanc: I",552,571
b272,1937,"Composition en rouge, bleu et blanc: II",605,750
b273,1937,"No. I: Opposition de lignes, de rouge et jaune",335,435
b274,1937,No. II: Blanc et rouge,552,603
b275,1937,No. III: Opposition de lignes de blanc et jaune,550,600
b276,1937,Rythme de lignes droites,695,722
b277,1937,Composition de lignes et couleur: III,770,800
b279,1937,"Composition with Yellow, Blue and Red",690,725
b280,1937,Composition no. 12,605,620
b281,1937,Composition no. 7,622,805
b283,1938,Place de la Concorde,944,940
b284,1939,Composition no. 2,382,446
b285,1938,Composition of red and white: I,991,1003
b286,1939,Composition no. 5,650,750
b287,1939,Composition no. 9,740,797
b288,1939,Composition no. 10,730,795
b292,1939,Composition no. 1,1023,1052
b293,1939,"Composition of red, blue and white: II",330,435
b294,1939,Trafalgar Square,1200,1452
b295,1939,Composition no. 8,681,752
b296,1940,Composition no. 11,711,825
