SubmissionID,What is your age range?,How many cups of coffee do you consume per day?,Do you add any dairy or dairy alternative to your coffee?,What kind of dairy? (Whole milk),What kind of dairy? (Skim milk),What kind of dairy? (Half and half),What kind of dairy? (Coffee creamer),What kind of dairy? (Flavored creamer),What kind of dairy? (Oat milk),What kind of dairy? (Almond milk),What kind of dairy? (Soy milk),Do you add any sugar or sweetener to your coffee?,What kind of sugar or sweetener? (Granulated Sugar),What kind of sugar or sweetener? (Artificial Sweetener),What kind of sugar or sweetener? (Honey),What kind of sugar or sweetener? (Maple Syrup),What kind of sugar or sweetener? (Stevia),What kind of sugar or sweetener? (Agave Nectar),What kind of sugar or sweetener? (Brown Sugar),What kind of sugar or sweetener? (Raw Sugar),How do you brew your coffee? (Pour over),How do you brew your coffee? (French press),How do you brew your coffee? (Espresso),How do you brew your coffee? (Coffee brewing machine),How do you brew your coffee? (Pod/capsule machine),How do you brew your coffee? (Instant coffee),How do you brew your coffee? (Bean-to-cup machine),How do you brew your coffee? (Cold brew),How do you brew your coffee? (Coffee extract)
5dqPNM,45-54,2,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
eBxdOE,25-34,2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
pLR9Z1,35-44,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA2E9V,25-34,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
5dE4eE,18-24,2,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42NbNO,18-24,2,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
9dJjjY,25-34,2,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
lNlxDk,25-34,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0EjRX0,25-34,1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YZzldq,18-24,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
aBrpab,25-34,< 1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
rlredX,25-34,2,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
pLPpz1,18-24,< 1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MAdWKM,25-34,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aBZNLW,35-44,2,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
5dlyld,35-44,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PABZGB,25-34,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RzBqjj,25-34,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
KMaj18,25-34,3,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
bl2RdL,18-24,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
5dl90b,25-34,2,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LdM4Ey,25-34,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RzbPjj,45-54,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
kYRB61,25-34,2,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
YZoPDW,18-24,< 1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42NlMo,35-44,< 1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oAVP61,25-34,< 1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aBrq6q,18-24,2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5dqaWQ,25-34,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42NlWr,18-24,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
6dQEyJ,35-44,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BGL4r5,35-44,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1rGdKM,35-44,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Albe0e,25-34,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0EjR6N,25-34,2,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
EPBkPl,35-44,< 1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OABxRk,45-54,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6dQ6WY,35-44,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al4vRB,45-54,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,
OAbzv7,25-34,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
YZzAAJ,25-34,4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
xd48r9,25-34,2,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
eBxgvk,55-64,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MAra58,25-34,2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZdG4ya,25-34,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
jB9KW6,25-34,4,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
24lNeL,35-44,1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jB06VJ,25-34,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPb7l4,45-54,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MAdxWM,25-34,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8dj16r,25-34,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rlr8Z5,25-34,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
bl29y1,35-44,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WAeGGN,35-44,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oAV8LX,18-24,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Al6YG0,25-34,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
6dr2Be,18-24,< 1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7d4Ng6,35-44,< 1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,
YZzAaW,45-54,> 4,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
pLRWYb,25-34,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NABZoO,35-44,2,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
rlrZgp,25-34,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jB0KLJ,35-44,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NA4epN,35-44,4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
zKQ6xZ,35-44,< 1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
qbElDO,25-34,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
VZ1Kkj,35-44,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PABJad,25-34,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eBxXZJ,45-54,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
bl41kE,25-34,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
EPBpo2,25-34,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
qbE1xk,18-24,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
OABqQp,35-44,2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,
5dqAzE,25-34,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g5N2AO,>65,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
qbEyL9,25-34,< 1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
dYKdod,45-54,2,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0E1vgN,45-54,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
aBZOMB,35-44,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
RzZp4P,25-34,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
VZ1rXg,25-34,< 1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g5N6RK,35-44,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5dlRpZ,25-34,2,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LdElkp,45-54,3,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVXQWR,45-54,> 4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
xd9Z7o,35-44,3,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
7dJQ9R,35-44,2,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rlrQxl,25-34,2,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GrBP6O,35-44,3,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PABVZx,18-24,2,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ylegqW,25-34,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
jB9ALR,18-24,2,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
blN5jL,18-24,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
jBG0la,25-34,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
VZ168g,18-24,2,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6dQaoJ,25-34,2,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BGLWAQ,18-24,< 1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
MArW1E,45-54,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
oAlyxN,>65,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rlr9OL,25-34,2,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
AlbeM0,35-44,2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
aBrqW9,25-34,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
9dJY7E,25-34,2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xdNO19,25-34,< 1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NA86AB,25-34,3,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
GrYBJQ,25-34,1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
QABlxk,25-34,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24x2LA,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NABavG,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
pL4y4y,25-34,3,0.0,,,,,,,,,0.0,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rl2BZL,18-24,1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ZdR71z,25-34,1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAd0AX,35-44,> 4,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
