scheduled,actual,carrier,flight,tailnum,origin,dest,air_time,distance
"03/30/2023, 23:14","03/30/2023, 23:13",DL,1015,N388DN,ATL,STL,74,484
"02/20/2023, 16:15","02/20/2023, 16:12",DL,869,N965AT,ATL,MYR,45,317
"01/19/2023, 11:03","01/19/2023, 11:14",DL,94,N317DN,ATL,SLC,238,1590
"06/29/2023, 17:41","06/29/2023, 18:29",DL,7,N332DN,ATL,DFW,107,731
"12/21/2023, 11:07","12/21/2023, 11:05",DL,506,N981AT,ATL,AVL,32,164
"11/22/2023, 17:55","11/22/2023, 17:50",9E,1594,N279PQ,ATL,AGS,30,143
"06/17/2023, 20:20","06/17/2023, 20:22",DL,341,N115DN,ATL,LAS,239,1747
"03/28/2023, 18:44","03/28/2023, 19:42",DL,440,N367DN,ATL,IAH,111,689
"09/28/2023, 21:20","09/28/2023, 21:18",DL,200,N102DN,ATL,BOS,120,946
"06/25/2023, 19:54","06/25/2023, 19:51",DL,1270,N6706Q,ATL,RDU,61,356
"01/06/2023, 11:00","01/06/2023, 11:01",WN,1234,N8622A,ATL,JAX,43,270
"10/20/2023, 10:20","10/20/2023, 10:26",DL,725,N953DZ,ATL,LEX,55,304
"02/01/2023, 09:15","02/01/2023, 09:12",DL,248,N341NW,ATL,LGA,92,762
"05/07/2023, 06:50","05/07/2023, 07:01",NK,617,N622NK,ATL,LAX,269,1947
"06/22/2023, 15:15","06/22/2023, 16:37",9E,1544,N391CA,ATL,CHA,29,106
"01/30/2023, 21:45","01/30/2023, 22:43",DL,158,N310DN,ATL,LGA,97,762
"08/17/2023, 15:00","08/17/2023, 14:59",WN,533,N570WN,ATL,LGA,99,762
"08/01/2023, 18:44","08/01/2023, 20:54",UA,35,N33203,ATL,ORD,89,606
"12/28/2023, 08:30","12/28/2023, 08:29",WN,386,N7811F,ATL,HOU,108,696
"07/11/2023, 10:00","07/11/2023, 10:16",WN,492,N226WN,ATL,DAL,140,721
"10/16/2023, 22:59","10/16/2023, 22:57",DL,262,N392DN,ATL,LAS,216,1747
"06/04/2023, 20:35","06/04/2023, 21:14",YX,1489,N113HQ,ATL,DCA,85,547
"01/07/2023, 11:15","01/07/2023, 11:13",DL,1093,N989AT,ATL,CAE,36,192
"11/08/2023, 15:21","11/08/2023, 15:22",OO,1422,N692CA,ATL,CSG,20,83
"09/11/2023, 20:55","09/11/2023, 20:53",DL,624,N349DX,ATL,ABQ,194,1269
"07/23/2023, 21:45","07/23/2023, 22:40",NK,251,N678NK,ATL,LAS,222,1747
"01/30/2023, 13:35","01/30/2023, 13:33",DL,899,N690DL,ATL,JAX,42,270
"10/31/2023, 09:27","10/31/2023, 09:25",DL,578,N994AT,ATL,GPT,59,352
"12/25/2023, 21:00","12/25/2023, 20:58",DL,894,N953AT,ATL,BTV,122,961
"10/15/2023, 11:07","10/15/2023, 11:01",AA,480,N722US,ATL,DCA,72,547
"07/30/2023, 22:30","07/30/2023, 23:08",DL,294,N805DN,ATL,SFO,251,2139
"03/12/2023, 17:41","03/12/2023, 17:46",DL,942,N965AT,ATL,SDF,52,321
"11/17/2023, 13:51","11/17/2023, 13:49",DL,485,N943DZ,ATL,STL,79,484
"03/16/2023, 11:40","03/16/2023, 11:32",F9,601,N702FR,ATL,CVG,61,373
"02/05/2023, 11:57","02/05/2023, 11:54",DL,246,N942AT,ATL,GNV,49,300
"11/10/2023, 17:37","11/10/2023, 21:35",UA,805,N803UA,ATL,IAH,110,689
"09/14/2023, 17:45","09/14/2023, 17:51",DL,384,N996AT,ATL,GSO,48,306
"11/10/2023, 22:25","11/10/2023, 22:32",DL,471,N544US,ATL,FLL,82,581
"10/21/2023, 15:56","10/21/2023, 15:52",DL,951,N977AT,ATL,HSV,34,151
"03/30/2023, 13:00","03/30/2023, 12:56",DL,1140,N694DL,ATL,JAX,40,270
"08/20/2023, 20:00","08/20/2023, 19:57",OO,1096,N840SK,ATL,HPN,120,780
"08/17/2023, 21:30","08/17/2023, 21:27",DL,821,N939DZ,ATL,MEM,49,332
"11/21/2023, 23:11","11/21/2023, 23:10",DL,799,N3754A,ATL,MOB,55,302
"04/24/2023, 18:45","04/24/2023, 18:39",DL,909,N982AT,ATL,HSV,30,151
"10/16/2023, 13:09","10/16/2023, 13:04",9E,1500,N302PQ,ATL,HPN,108,780
"11/23/2023, 15:30","11/23/2023, 15:28",DL,828,N374DX,ATL,CLE,74,554
"11/07/2023, 12:29","11/07/2023, 12:24",DL,1218,N997AT,ATL,TLH,40,223
"01/20/2023, 10:40","01/20/2023, 10:40",DL,1267,N810DN,ATL,BDL,99,859
"02/05/2023, 22:47","02/05/2023, 22:42",DL,862,N386DN,ATL,GRR,94,640
"01/14/2023, 12:59","01/14/2023, 13:05",DL,1354,N866DN,ATL,MSP,143,907
"09/30/2023, 08:12","09/30/2023, 08:11",DL,321,N303DN,ATL,BWI,84,577
"03/29/2023, 14:48","03/29/2023, 14:45",DL,981,N337NW,ATL,PVD,110,903
"05/28/2023, 20:04","05/28/2023, 19:55",DL,958,N964AT,ATL,HPN,123,780
"07/17/2023, 14:31","07/17/2023, 14:27",DL,447,N952AT,ATL,LIT,64,453
"02/26/2023, 21:10","02/26/2023, 21:08",DL,472,N3734B,ATL,CVG,59,373
"12/28/2023, 09:00","12/28/2023, 08:56",NK,108,N926NK,ATL,MSY,75,425
"12/15/2023, 10:10","12/15/2023, 10:09",DL,469,N338DN,ATL,SAT,124,874
"08/20/2023, 10:10","08/20/2023, 10:11",DL,701,N397DA,ATL,CMH,66,447
"12/22/2023, 15:58","12/22/2023, 17:40",9E,1489,N935XJ,ATL,GPT,61,352
"09/06/2023, 21:20","09/06/2023, 21:17",WN,1322,N488WN,ATL,FLL,82,581
"05/02/2023, 13:17","05/02/2023, 13:15",DL,523,N302DN,ATL,IAH,111,689
"07/22/2023, 19:54","07/22/2023, 19:50",9E,1418,N340CA,ATL,AEX,75,500
"09/12/2023, 19:40","09/12/2023, 19:33",WN,9,N278WN,ATL,HOU,100,696
"08/08/2023, 22:40","08/08/2023, 22:46",DL,355,N343NB,ATL,DAL,106,721
"10/18/2023, 08:15","10/18/2023, 08:12",DL,673,N386DN,ATL,SAT,119,874
"12/18/2023, 13:49","12/18/2023, 13:45",DL,394,N332DN,ATL,PBI,83,545
"03/09/2023, 21:20","03/09/2023, 21:13",DL,230,N109DN,ATL,AUS,118,813
"07/10/2023, 22:38","07/10/2023, 23:42",DL,261,N303DN,ATL,DFW,99,731
"03/03/2023, 13:05","03/03/2023, 13:31",DL,292,N996AT,ATL,OMA,122,821
"04/16/2023, 13:17","04/16/2023, 13:21",F9,505,N704FR,ATL,TPA,62,406
"03/07/2023, 21:02","03/07/2023, 21:02",DL,254,N546US,ATL,LAS,251,1747
"03/05/2023, 09:10","03/05/2023, 09:09",DL,236,N834DN,ATL,GEG,266,1969
"08/03/2023, 10:09","08/03/2023, 10:08",DL,638,N919AT,ATL,GSP,37,153
"02/09/2023, 08:45","02/09/2023, 08:44",DL,172,N322DN,ATL,SAN,251,1892
"02/27/2023, 21:25","02/27/2023, 21:27",WN,577,N8758L,ATL,RSW,77,515
"07/15/2023, 21:34","07/15/2023, 21:58",DL,1108,N801DZ,ATL,GSO,56,306
"05/11/2023, 15:33","05/11/2023, 15:55",DL,131,N385DZ,ATL,SLC,210,1590
"10/10/2023, 19:35","10/10/2023, 19:33",WN,961,N7876A,ATL,IND,66,432
"11/20/2023, 07:05","11/20/2023, 07:04",WN,454,N8513F,ATL,MDW,89,591
"02/08/2023, 13:54","02/08/2023, 13:49",DL,449,N364NW,ATL,IAH,,689
"01/25/2023, 08:55","01/25/2023, 08:54",DL,915,N945AT,ATL,LIT,74,453
"12/20/2023, 18:20","12/20/2023, 20:05",WN,700,N8528Q,ATL,TPA,64,406
"04/15/2023, 22:25","04/15/2023, 22:30",DL,719,N556NW,ATL,MSY,67,425
"12/06/2023, 19:35","12/06/2023, 20:08",WN,1022,N7882B,ATL,SAT,125,874
"11/15/2023, 15:10","11/15/2023, 15:05",DL,1090,N994AT,ATL,MDW,88,591
"04/02/2023, 10:30","04/02/2023, 10:27",DL,194,N889DN,ATL,SFO,296,2139
"04/21/2023, 18:15","04/21/2023, 18:41",WN,1109,N8607M,ATL,TPA,64,406
"05/21/2023, 14:30","05/21/2023, 14:24",DL,1070,N946AT,ATL,JAN,54,341
"12/27/2023, 11:05","12/27/2023, 11:16",DL,829,N998AT,ATL,STL,77,484
"10/09/2023, 19:55","10/09/2023, 19:52",WN,965,N8690A,ATL,CMH,63,447
"05/16/2023, 10:06","05/16/2023, 10:03",DL,959,N951DX,ATL,PNS,44,271
"02/06/2023, 18:33","02/06/2023, 18:34",DL,236,N692DL,ATL,LAX,267,1947
"07/08/2023, 17:15","07/08/2023, 17:11",DL,1092,N325US,ATL,MLB,67,442
"09/10/2023, 11:58","09/10/2023, 12:13",DL,956,N341NB,ATL,GNV,48,300
"11/29/2023, 08:04","11/29/2023, 07:55",AA,1064,N976UY,ATL,ORD,101,606
"09/30/2023, 11:06","09/30/2023, 11:06",MQ,1362,N264NN,ATL,MIA,85,594
"10/10/2023, 16:10","10/10/2023, 16:04",DL,326,N354DN,ATL,DCA,79,547
"09/30/2023, 12:35","09/30/2023, 12:38",DL,1265,N951AT,ATL,TLH,39,223
"06/11/2023, 07:05","06/11/2023, 07:03",DL,1287,N387DN,ATL,CMH,63,447
"10/09/2023, 20:40","10/09/2023, 20:45",DL,324,N939DZ,ATL,MEM,53,332
"06/07/2023, 18:30","06/07/2023, 19:47",DL,298,N6712B,ATL,MCO,57,404
"07/05/2023, 07:44","07/05/2023, 07:42",DL,766,N549US,ATL,FLL,81,581
"05/23/2023, 20:54","05/23/2023, 22:33",F9,1267,N719FR,ATL,SJU,178,1547
"01/11/2023, 08:52","01/11/2023, 09:10",DL,1094,N545US,ATL,MSY,69,425
"04/29/2023, 13:30","04/29/2023, 13:28",DL,942,N951DX,ATL,PNS,56,271
"06/22/2023, 09:00","06/22/2023, 08:56",AA,410,N144AN,ATL,MIA,88,594
"12/07/2023, 22:49","12/07/2023, 22:45",DL,1156,N312DN,ATL,MKE,90,669
"01/07/2023, 10:00","01/07/2023, 10:11",DL,337,N574DZ,ATL,HNL,590,4502
"03/01/2023, 10:07","03/01/2023, 10:04",DL,699,N382DN,ATL,AUS,124,813
"01/28/2023, 23:00","01/28/2023, 22:52",DL,658,N337NW,ATL,ROA,49,357
"10/21/2023, 21:40","10/21/2023, 21:36",DL,1190,N957AT,ATL,SGF,87,563
"07/27/2023, 22:49","07/27/2023, 22:49",DL,239,N942AT,ATL,AVL,40,164
"11/06/2023, 13:10","11/06/2023, 13:08",DL,264,N903DN,ATL,SEA,294,2182
"04/07/2023, 09:54","04/07/2023, 09:50",DL,186,N671DN,ATL,SEA,284,2182
"01/11/2023, 20:55","01/11/2023, 20:52",9E,1558,N200PQ,ATL,ILM,52,377
"01/27/2023, 14:11","01/27/2023, 14:09",DL,610,N820DX,ATL,SAT,136,874
"03/11/2023, 10:15","03/11/2023, 10:12",DL,758,N702TW,ATL,SNA,278,1919
"07/27/2023, 11:00","07/27/2023, 10:55",DL,687,N988AT,ATL,TUL,88,674
"01/05/2023, 07:15","01/05/2023, 07:13",DL,636,N338NW,ATL,LGA,96,762
"02/03/2023, 20:46","02/03/2023, 22:26",UA,37,N881UA,ATL,EWR,106,746
"04/19/2023, 08:11","04/19/2023, 08:07",DL,1013,N951AT,ATL,SDF,55,321
"07/27/2023, 07:05","07/27/2023, 07:04",DL,442,N557NW,ATL,TPA,59,406
"06/10/2023, 10:40","06/10/2023, 10:40",WN,1106,N8846Q,ATL,TPA,59,406
"10/17/2023, 22:40","10/17/2023, 22:38",DL,271,N352DN,ATL,DFW,105,731
"07/17/2023, 09:10","07/17/2023, 09:05",9E,1466,N340CA,ATL,BQK,49,238
"09/06/2023, 11:15","09/06/2023, 11:14",DL,829,N951DX,ATL,MEM,54,332
"04/20/2023, 17:57","04/20/2023, 18:00",DL,210,N837DN,ATL,SMF,332,2092
"09/09/2023, 08:15","09/09/2023, 08:21",DL,400,N696DL,ATL,RSW,68,515
"02/07/2023, 13:32","02/07/2023, 13:31",DL,163,N365DN,ATL,LAS,235,1747
"10/24/2023, 09:40","10/24/2023, 09:36",DL,761,N822DX,ATL,STT,184,1599
"03/20/2023, 16:13","03/20/2023, 16:23",9E,1298,N316PQ,ATL,ROA,59,357
"11/22/2023, 14:24","11/22/2023, 14:45",F9,876,N324FR,ATL,FLL,86,581
"05/20/2023, 12:24","05/20/2023, 12:51",AA,303,N155UW,ATL,DFW,108,731
"02/17/2023, 19:20","02/17/2023, 19:13",NK,406,N942NK,ATL,MSY,80,425
"10/08/2023, 12:23","10/08/2023, 12:18",AA,338,N917UY,ATL,DFW,107,731
"05/23/2023, 14:07","05/23/2023, 14:23",DL,444,N353DN,ATL,SAT,117,874
"06/09/2023, 10:03","06/09/2023, 10:03",NK,50,N971NK,ATL,DFW,109,731
"11/25/2023, 09:15","11/25/2023, 09:18",WN,412,N773SA,ATL,CMH,70,447
"05/11/2023, 06:15","05/11/2023, 06:15",NK,1101,N526NK,ATL,MCO,64,404
"06/09/2023, 22:59","06/09/2023, 22:59",DL,606,N126DN,ATL,PBI,77,545
"06/28/2023, 08:56","06/28/2023, 08:53",DL,1077,N983AT,ATL,MYR,47,317
"10/22/2023, 20:45","10/22/2023, 20:41",DL,76,N334DN,ATL,PHX,214,1587
"10/06/2023, 07:05","10/06/2023, 07:06",DL,637,N384DN,ATL,IAH,106,689
"03/17/2023, 15:18","03/17/2023, 15:16",9E,1283,N136EV,ATL,SGF,94,563
"10/12/2023, 15:45","10/12/2023, 16:35",WN,682,N8619F,ATL,IND,67,432
"12/15/2023, 10:05","12/15/2023, 10:10",DL,500,N931DQ,ATL,CHS,44,259
"02/03/2023, 11:05","02/03/2023, 11:00",DL,595,N372NW,ATL,ROC,93,749
"02/07/2023, 12:55","02/07/2023, 12:51",WN,644,N7715E,ATL,AUS,120,813
"01/03/2023, 17:25","01/03/2023, 18:19",NK,296,N503NK,ATL,ORD,89,606
"11/17/2023, 17:09","11/17/2023, 17:08",DL,1167,N900PC,ATL,MSY,76,425
"03/15/2023, 18:10","03/15/2023, 18:06",DL,1085,N660DL,ATL,ORD,98,606
"06/30/2023, 08:10","06/30/2023, 08:07",DL,981,N944AT,ATL,TLH,39,223
"01/09/2023, 08:55","01/09/2023, 08:54",WN,1362,N8525S,ATL,MSY,68,425
"11/11/2023, 17:40","11/11/2023, 17:36",9E,1585,N367CA,ATL,EYW,89,646
"06/21/2023, 22:58","06/21/2023, 23:01",DL,287,N327DN,ATL,LAS,231,1747
"07/11/2023, 19:55","07/11/2023, 20:15",WN,100,N8750Q,ATL,SDF,54,321
"10/03/2023, 10:04","10/03/2023, 09:59",DL,344,N362DN,ATL,DEN,155,1199
"04/02/2023, 11:30","04/02/2023, 11:29",WN,803,N8602F,ATL,CMH,66,447
"05/01/2023, 21:25","05/01/2023, 21:22",DL,321,N822DX,ATL,RDU,56,356
"02/28/2023, 09:44","02/28/2023, 09:43",OO,961,N712EV,ATL,ASE,213,1304
"12/04/2023, 22:39","12/04/2023, 22:30",DL,975,N692DL,ATL,BWI,72,577
"02/16/2023, 15:12","02/16/2023, 15:12",DL,117,N325DN,ATL,SLC,223,1590
"05/28/2023, 17:40","05/28/2023, 17:39",DL,459,N949DZ,ATL,ECP,38,240
"11/23/2023, 22:50","11/23/2023, 22:56",F9,398,N341FR,ATL,BWI,73,577
"11/09/2023, 21:45","11/09/2023, 22:17",WN,1189,N7835A,ATL,RIC,64,481
"12/30/2023, 19:55","12/30/2023, 20:15",DL,178,N815DN,ATL,SMF,283,2092
"08/29/2023, 13:40","08/29/2023, 13:39",DL,427,N6708D,ATL,FLL,86,581
"12/28/2023, 14:06","12/28/2023, 14:03",DL,665,N377DN,ATL,SJU,187,1547
"09/23/2023, 09:30","09/23/2023, 09:26",WN,1394,N926WN,ATL,MDW,84,591
"06/21/2023, 22:13","06/22/2023, 00:21",F9,132,N723FR,ATL,DEN,153,1199
"07/12/2023, 22:45","07/12/2023, 22:56",DL,1038,N3766,ATL,HSV,30,151
"02/10/2023, 07:55","02/10/2023, 07:55",DL,871,N365NW,ATL,MEM,55,332
"12/10/2023, 18:05","12/10/2023, 17:59",UA,107,N849UA,ATL,DEN,176,1199
"03/15/2023, 08:58","03/15/2023, 08:57",DL,244,N899DN,ATL,SJC,283,2116
"06/18/2023, 19:40","06/18/2023, 19:47",WN,1015,N8558Z,ATL,MDW,83,591
"04/09/2023, 20:11","04/09/2023, 20:24",DL,330,N556NW,ATL,ORD,89,606
"06/28/2023, 18:05","06/28/2023, 19:46",9E,1606,N695CA,ATL,AGS,33,143
"03/17/2023, 09:00","03/17/2023, 08:57",DL,234,N369NW,ATL,DCA,80,547
"03/28/2023, 11:18","03/28/2023, 11:15",DL,127,N109DN,ATL,PHX,244,1587
"03/27/2023, 12:35","03/27/2023, 12:35",DL,672,N896AT,ATL,CAE,37,192
"08/20/2023, 21:22","08/20/2023, 21:17",F9,849,N308FR,ATL,BWI,83,577
"05/17/2023, 11:20","05/17/2023, 11:25",DL,96,N718TW,ATL,SNA,251,1919
"06/03/2023, 08:20","06/03/2023, 08:20",DL,84,N324DX,ATL,DEN,157,1199
"10/23/2023, 20:50","10/23/2023, 20:45",B6,1042,N517JB,ATL,LGA,99,762
"10/26/2023, 13:53","10/26/2023, 13:51",DL,1172,N554NW,ATL,BWI,76,577
"09/11/2023, 15:15","09/11/2023, 15:20",DL,1146,N682DA,ATL,BWI,83,577
"07/09/2023, 10:45","07/09/2023, 10:44",WN,1008,N206WN,ATL,TPA,63,406
"03/27/2023, 13:45","03/27/2023, 16:22",OO,1190,N162PQ,ATL,SHV,89,551
"09/18/2023, 20:54","09/18/2023, 20:50",DL,1215,N961DZ,ATL,BHM,30,134
"03/17/2023, 09:40","03/17/2023, 09:41",AA,768,N909AM,ATL,DFW,119,731
"05/26/2023, 19:56","05/26/2023, 20:00",DL,147,N378DN,ATL,BOS,137,946
"02/28/2023, 19:30","02/28/2023, 19:31",WN,525,N8689C,ATL,MSY,68,425
"11/29/2023, 08:10","11/29/2023, 08:07",DL,460,N190DN,ATL,MCO,60,404
"11/28/2023, 15:20","11/28/2023, 15:18",DL,455,N920AT,ATL,TUL,103,674
"08/28/2023, 15:14","08/28/2023, 15:13",DL,687,N814DN,ATL,CMH,68,447
"04/09/2023, 08:37","04/09/2023, 08:57",DL,394,N673DL,ATL,TPA,61,406
"09/16/2023, 15:37","09/16/2023, 15:37",DL,730,N336DX,ATL,AUS,126,813
"03/07/2023, 05:05","03/07/2023, 05:09",F9,537,N210FR,ATL,DFW,111,731
"02/09/2023, 22:43","02/09/2023, 22:44",DL,623,N947AT,ATL,LEX,48,304
"06/11/2023, 22:50","06/11/2023, 22:59",DL,333,N326DN,ATL,SAN,263,1892
"11/16/2023, 21:00","11/16/2023, 20:53",9E,1513,N908XJ,ATL,TYS,33,152
"02/06/2023, 15:20","02/06/2023, 15:15",DL,72,N335DN,ATL,LGA,110,762
"01/08/2023, 14:30","01/08/2023, 14:25",UA,38,N843UA,ATL,IAD,76,534
"05/14/2023, 08:15","05/14/2023, 08:15",DL,1,N587NW,ATL,SEA,264,2182
"09/30/2023, 13:02","09/30/2023, 13:03",9E,1703,N354CA,ATL,VLD,44,208
"03/31/2023, 21:45","04/01/2023, 09:25",DL,982,N3735D,ATL,BHM,31,134
"12/25/2023, 13:00","12/25/2023, 12:55",9E,1383,N305PQ,ATL,CHO,60,457
"03/10/2023, 17:00","03/10/2023, 17:43",AA,483,N572UW,ATL,LAX,281,1947
"07/05/2023, 08:20","07/05/2023, 08:20",DL,332,N823DN,ATL,SEA,291,2182
"04/16/2023, 10:21","04/16/2023, 10:19",DL,648,N851DN,ATL,MEM,54,332
"04/25/2023, 09:10","04/25/2023, 09:24",DL,386,N328NW,ATL,SYR,105,794
"10/01/2023, 20:55","10/01/2023, 21:44",DL,387,N330NW,ATL,MDW,86,591
"07/13/2023, 11:19","07/13/2023, 11:13",DL,66,N706TW,ATL,SNA,247,1919
"01/05/2023, 19:58","01/05/2023, 19:58",DL,51,N6706Q,ATL,LAX,289,1947
"03/22/2023, 22:30","03/22/2023, 22:26",DL,801,N3733Z,ATL,HSV,34,151
"04/05/2023, 06:00","04/05/2023, 05:55",B6,305,N3118J,ATL,BOS,120,946
"01/30/2023, 08:55","01/30/2023, 09:24",WN,1362,N8822Q,ATL,MSY,77,425
"07/19/2023, 21:25","07/19/2023, 21:23",DL,446,N925DZ,ATL,JFK,103,760
"04/12/2023, 09:48","04/12/2023, 09:44",UA,45,N23721,ATL,EWR,115,746
"03/28/2023, 07:39","03/28/2023, 07:37",DL,945,N6715C,ATL,BWI,76,577
"10/05/2023, 21:11","10/05/2023, 21:09",DL,698,N954AT,ATL,CHA,26,106
"11/16/2023, 21:22","11/16/2023, 21:24",DL,681,N932AT,ATL,CHO,66,457
"05/08/2023, 20:10","05/08/2023, 20:05",DL,146,N707TW,ATL,SNA,251,1919
"02/09/2023, 21:25","02/09/2023, 21:46",WN,515,N8815L,ATL,MIA,86,594
"11/14/2023, 07:05","11/14/2023, 07:02",DL,716,N961AT,ATL,IAD,74,534
"07/31/2023, 11:00","07/31/2023, 11:02",DL,120,N337DN,ATL,LAX,226,1947
"06/13/2023, 23:00","06/13/2023, 22:53",DL,1262,N927DZ,ATL,SAV,37,214
"04/04/2023, 07:08","04/04/2023, 07:05",DL,878,N834DN,ATL,PHL,90,666
"03/15/2023, 17:55","03/15/2023, 17:51",DL,655,N966AT,ATL,OKC,109,761
"08/17/2023, 17:10","08/17/2023, 17:14",WN,3,N476WN,ATL,HOU,90,696
"11/11/2023, 12:35","11/11/2023, 12:29",DL,641,N683DA,ATL,MCO,58,404
"08/09/2023, 12:43","08/09/2023, 12:41",DL,508,N6704Z,ATL,MCO,58,404
"03/07/2023, 17:19","03/07/2023, 17:14",DL,317,N385DZ,ATL,DFW,111,731
"07/20/2023, 14:06","07/20/2023, 14:12",DL,104,N319DN,ATL,SLC,208,1590
"05/14/2023, 11:40","05/14/2023, 11:46",WN,211,N1801U,ATL,IAD,78,534
"12/13/2023, 14:26","12/13/2023, 14:24",DL,566,N825DN,ATL,RDU,58,356
"11/16/2023, 22:59","11/16/2023, 22:54",DL,296,N359DN,ATL,PHX,259,1587
"09/17/2023, 22:54","09/17/2023, 23:08",DL,1062,N936AT,ATL,TLH,39,223
"01/31/2023, 11:05","01/31/2023, 11:12",DL,773,N536US,ATL,EGE,194,1312
"12/30/2023, 14:29","12/30/2023, 14:19",DL,702,N934AT,ATL,SDF,59,321
"03/16/2023, 21:55","03/16/2023, 22:20",WN,351,N7885A,ATL,RIC,69,481
"08/06/2023, 09:30","08/06/2023, 09:27",DL,538,N820DX,ATL,MCO,59,404
"09/07/2023, 15:10","09/07/2023, 15:00",NK,1441,N632NK,ATL,DTW,95,594
"10/06/2023, 19:55","10/06/2023, 20:15",DL,157,N115DN,ATL,BOS,114,946
"10/18/2023, 18:19","10/18/2023, 18:13",DL,760,N334DN,ATL,DTW,87,594
"05/24/2023, 17:16","05/24/2023, 17:11",DL,1047,N811DZ,ATL,CMH,69,447
"01/13/2023, 14:09","01/13/2023, 14:15",AA,423,N584UW,ATL,DFW,108,731
"05/29/2023, 17:20","05/29/2023, 17:24",AA,173,N929AN,ATL,ORD,96,606
"11/10/2023, 15:54","11/10/2023, 15:49",9E,1521,N135EV,ATL,LFT,83,503
"10/22/2023, 08:24","10/22/2023, 08:22",DL,1250,N948DZ,ATL,CVG,59,373
"06/07/2023, 22:25","06/07/2023, 22:25",DL,533,N6702,ATL,MIA,91,594
"02/17/2023, 10:15","02/17/2023, 10:20",DL,222,N378DN,ATL,BOS,115,946
"10/21/2023, 09:50","10/21/2023, 09:45",DL,258,N814DN,ATL,GEG,260,1969
"12/25/2023, 18:20","12/25/2023, 18:12",DL,1050,N391DA,ATL,SDF,56,321
"02/01/2023, 13:40","02/01/2023, 13:30",UA,103,N827UA,ATL,ORD,95,606
"12/10/2023, 08:30","12/10/2023, 10:05",DL,195,N574DZ,ATL,PHX,209,1587
"12/31/2023, 11:35","12/31/2023, 11:29",DL,675,N6702,ATL,STT,185,1599
"07/28/2023, 15:08","07/28/2023, 15:29",UA,197,N434UA,ATL,IAH,99,689
"07/13/2023, 19:55","07/13/2023, 20:13",WN,1114,N793SA,ATL,PIT,71,526
"11/25/2023, 21:15","11/25/2023, 21:30",DL,913,N658DL,ATL,FLL,82,581
"03/02/2023, 17:40","03/02/2023, 17:37",DL,896,N678DL,ATL,ORD,103,606
"05/17/2023, 13:31","05/17/2023, 13:28",DL,853,N990AT,ATL,GSO,47,306
"10/22/2023, 21:20","10/22/2023, 21:25",DL,341,N308DN,ATL,ONT,249,1900
"03/24/2023, 18:55","03/24/2023, 18:57",DL,496,N835MH,ATL,JFK,103,760
"05/22/2023, 09:25","05/22/2023, 09:23",DL,674,N921AT,ATL,ICT,110,782
"06/29/2023, 16:26","06/29/2023, 17:15",DL,1136,N683DA,ATL,JAX,44,270
"12/01/2023, 22:55","12/01/2023, 22:43",DL,717,N920DU,ATL,VPS,45,250
"09/07/2023, 15:10","09/07/2023, 15:07",DL,632,N314NB,ATL,EYW,82,646
"05/19/2023, 15:05","05/19/2023, 15:21",WN,87,N7887A,ATL,RIC,71,481
"07/15/2023, 09:51","07/15/2023, 09:48",DL,683,N776DE,ATL,STX,203,1638
