continent,year,population
Africa,1907,142327180
Africa,1908,142902543
Africa,1909,143483346
Africa,1910,144068383
Africa,1911,144655670
Africa,1912,145245400
Africa,1913,145835662
Africa,1914,146434524
Africa,1915,147042086
Africa,1916,147658424
Africa,1917,148283643
Africa,1918,148892208
Africa,1919,149751440
Africa,1920,150865200
Africa,1921,152239781
Africa,1922,153876862
Africa,1923,155780482
Africa,1924,157712366
Africa,1925,159672951
Africa,1926,161662674
Africa,1927,163681990
Africa,1928,165731367
Africa,1929,167813287
Africa,1930,169928217
Africa,1931,172076932
Africa,1932,174259628
Africa,1933,176476818
Africa,1934,178726971
Africa,1935,181010603
Africa,1936,183328236
Africa,1937,185680386
Africa,1938,188067589
Africa,1939,190609541
Africa,1940,193310936
Africa,1941,196179606
Africa,1942,199217449
Africa,1943,202429523
Africa,1944,205701845
Africa,1945,209035597
Africa,1946,212431973
Africa,1947,215892205
Africa,1948,219417537
Africa,1949,223283535
Africa,1950,227776838
Africa,1951,232557383
Africa,1952,237539907
Africa,1953,242685413
Africa,1954,248006202
Africa,1955,253538227
Africa,1956,259271778
Africa,1957,265129071
Africa,1958,271042087
Africa,1959,277271966
Africa,1960,283922289
Africa,1961,290814083
Africa,1962,297959967
Africa,1963,305371382
Africa,1964,313060731
Africa,1965,321013569
Africa,1966,329252360
Africa,1967,337851070
Africa,1968,346800965
Africa,1969,356032572
Africa,1970,365552194
Africa,1971,375326467
Africa,1972,385312221
Africa,1973,395821972
Africa,1974,406870347
Africa,1975,418433494
Africa,1976,430496972
Africa,1977,442660474
Africa,1978,455539246
Africa,1979,469198447
Africa,1980,483051703
Africa,1981,497620997
Africa,1982,512958818
Africa,1983,528232712
Africa,1984,543638102
Africa,1985,559664031
Africa,1986,575967283
Africa,1987,592601301
Africa,1988,609387686
Africa,1989,626359180
Africa,1990,643775320
Africa,1991,661103806
Africa,1992,678558076
Africa,1993,696621727
Africa,1994,714502658
Africa,1995,732695476
Africa,1996,751473728
Africa,1997,770384702
Africa,1998,789981698
Africa,1999,810079818
Africa,2000,830582806
Africa,2001,851690329
Africa,2002,873411364
Africa,2003,895734453
Africa,2004,918778450
Africa,2005,942546623
Africa,2006,966932346
Africa,2007,992055831
Africa,2008,1018065513
Africa,2009,1044777740
Africa,2010,1072216718
Africa,2011,1100148882
Africa,2012,1128843697
Africa,2013,1158780551
Africa,2014,1189220573
Africa,2015,1220075728
Africa,2016,1251208654
Africa,2017,1282902302
Africa,2018,1315409965
Africa,2019,1348005687
Africa,2020,1380821355
Africa,2021,1413753270
Africa,2022,1446883817
Africa,2023,1480770740
Asia,-10000,1392482
Asia,-9000,1881929
Asia,-8000,2614601
Asia,-7000,3789516
Asia,-6000,5851781
Asia,-5000,9661433
Asia,-4000,16285471
Asia,-3000,27015088
Asia,-2000,47110041
Asia,-1000,72931230
Asia,0,165697329
Asia,100,166409658
Asia,200,165838826
Asia,300,151807243
Asia,400,164424072
Asia,500,176818172
Asia,600,195299691
Asia,700,194317184
Asia,800,192741671
Asia,900,207625816
Asia,1000,209394746
Asia,1100,268700394
Asia,1200,290744021
Asia,1300,271042545
Asia,1400,271145902
Asia,1500,304088218
Asia,1555,319205741
Asia,1600,334343065
Asia,1640,360760423
Asia,1700,387156235
Asia,1710,399833174
Asia,1720,421380818
Asia,1730,435102909
Asia,1740,457265382
Asia,1750,498937067
Asia,1760,524257046
Asia,1770,554028046
Asia,1780,616358292
Asia,1785,626330148
Asia,1788,636302004
Asia,1790,646273860
Asia,1800,683181540
Asia,1801,685331004
Asia,1802,687499996
Asia,1803,689688487
Asia,1804,691896457
Asia,1805,694123893
Asia,1806,696370781
Asia,1807,698637130
Asia,1808,700922938
Asia,1809,703228216
Asia,1810,706697247
Asia,1811,710184970
Asia,1812,714101589
Asia,1813,718452410
Asia,1814,722875649
Asia,1815,727371867
Asia,1816,731941628
Asia,1817,736585517
Asia,1818,741304115
Asia,1819,745877888
Asia,1820,750302436
Asia,1821,754333381
Asia,1822,758182933
Asia,1823,762351061
Asia,1824,766551242
Asia,1825,770783722
Asia,1826,775048757
Asia,1827,779346599
Asia,1828,783677502
Asia,1829,787519369
Asia,1830,790868367
Asia,1831,793720630
Asia,1832,796067340
Asia,1833,797904515
Asia,1834,799750516
Asia,1835,801605412
Asia,1836,803463258
Asia,1837,805330136
Asia,1838,807206121
Asia,1839,809029646
Asia,1840,810809627
Asia,1841,812540636
Asia,1842,814222743
Asia,1843,815855997
Asia,1844,817502099
Asia,1845,819161198
Asia,1846,820833452
Asia,1847,822519006
Asia,1848,824218038
Asia,1849,825222462
Asia,1850,825539753
Asia,1851,824919179
Asia,1852,823625614
Asia,1853,821666826
Asia,1854,819758194
Asia,1855,817899693
Asia,1856,816091289
Asia,1857,814332986
Asia,1858,812624772
Asia,1859,811269628
Asia,1860,810264188
Asia,1861,809610216
Asia,1862,809307266
Asia,1863,809347406
Asia,1864,809420661
Asia,1865,809519559
Asia,1866,809642614
Asia,1867,809796645
Asia,1868,809979613
Asia,1869,810619596
Asia,1870,811727086
Asia,1871,813281475
Asia,1872,815307566
Asia,1873,817774457
Asia,1874,820245876
Asia,1875,822748807
Asia,1876,825262338
Asia,1877,827756319
Asia,1878,830246401
Asia,1879,833177921
Asia,1880,836588561
Asia,1881,840498338
Asia,1882,844908026
Asia,1883,849808775
Asia,1884,854759869
Asia,1885,859815828
Asia,1886,864895539
Asia,1887,870044849
Asia,1888,875235619
Asia,1889,880253270
Asia,1890,885113714
Asia,1891,889769283
Asia,1892,894234392
Asia,1893,898513802
Asia,1894,902847416
Asia,1895,907247338
Asia,1896,911649066
Asia,1897,916108835
Asia,1898,920604531
Asia,1899,925586618
Asia,1900,931021418
Asia,1901,936902660
Asia,1902,943255046
Asia,1903,950069951
Asia,1904,956950596
Asia,1905,963899803
Asia,1906,970921559
Asia,1907,978034978
Asia,1908,985241824
Asia,1909,992474216
Asia,1910,999734197
Asia,1911,1006983059
Asia,1912,1014336227
Asia,1913,1021733426
Asia,1914,1029237086
Asia,1915,1036849812
Asia,1916,1044516276
Asia,1917,1052212325
Asia,1918,1060455454
Asia,1919,1068676253
Asia,1920,1076882587
Asia,1921,1084965328
Asia,1922,1092913940
Asia,1923,1100750146
Asia,1924,1108723191
Asia,1925,1116816909
Asia,1926,1125041494
Asia,1927,1133396748
Asia,1928,1141888360
Asia,1929,1151215839
Asia,1930,1161422369
Asia,1931,1172523816
Asia,1932,1184512344
Asia,1933,1197356574
Asia,1934,1210362883
Asia,1935,1223537795
Asia,1936,1236977246
Asia,1937,1250648056
Asia,1938,1264656203
Asia,1939,1277274161
Asia,1940,1288504299
Asia,1941,1298273759
Asia,1942,1306646044
Asia,1943,1313426825
Asia,1944,1319919245
Asia,1945,1326525661
Asia,1946,1333534095
Asia,1947,1341255488
Asia,1948,1349532426
Asia,1949,1362069889
Asia,1950,1367581794
Asia,1951,1394310209
Asia,1952,1423932568
Asia,1953,1455634307
Asia,1954,1488418594
Asia,1955,1523146412
Asia,1956,1558262812
Asia,1957,1594675240
Asia,1958,1631866814
Asia,1959,1664697435
Asia,1960,1691762689
Asia,1961,1718156542
Asia,1962,1753318917
Asia,1963,1799305118
Asia,1964,1847441779
Asia,1965,1894030096
Asia,1966,1940186410
Asia,1967,1986308204
Asia,1968,2034769705
Asia,1969,2085428644
Asia,1970,2136911800
Asia,1971,2187672734
Asia,1972,2237825637
Asia,1973,2288852578
Asia,1974,2339398093
Asia,1975,2388510796
Asia,1976,2436467523
Asia,1977,2484229194
Asia,1978,2531837751
Asia,1979,2580755579
Asia,1980,2631643578
Asia,1981,2683999130
Asia,1982,2738669561
Asia,1983,2794057024
Asia,1984,2849479890
Asia,1985,2906232637
Asia,1986,2964898212
Asia,1987,3025641761
Asia,1988,3086642984
Asia,1989,3147693774
Asia,1990,3209094416
Asia,1991,3268207591
Asia,1992,3324812376
Asia,1993,3380039932
Asia,1994,3433680246
Asia,1995,3486817941
Asia,1996,3539849815
Asia,1997,3592367924
Asia,1998,3644341777
Asia,1999,3695620593
Asia,2000,3746832774
Asia,2001,3797954098
Asia,2002,3847359676
Asia,2003,3895799452
Asia,2004,3944378409
Asia,2005,3992890562
Asia,2006,4041771421
Asia,2007,4090564354
Asia,2008,4139267473
Asia,2009,4188829442
Asia,2010,4238694946
Asia,2011,4288349990
Asia,2012,4338443549
Asia,2013,4387757389
Asia,2014,4435744582
Asia,2015,4482088478
Asia,2016,4527178156
Asia,2017,4571224662
Asia,2018,4612352863
Asia,2019,4651098712
Asia,2020,4686811205
Asia,2021,4716999175
Asia,2022,4746329726
Asia,2023,4776659632
Europe,-10000,3226284
Europe,-9000,3331274
Europe,-8000,3467512
Europe,-7000,3648313
Europe,-6000,3930720
Europe,-5000,4305814
Europe,-4000,5023763
Europe,-3000,6277104
Europe,-2000,9699140
Europe,-1000,15478851
Europe,0,34310475
Europe,100,35785577
Europe,200,37192418
Europe,300,35813688
Europe,400,34444025
Europe,500,30647473
Europe,600,26709388
Europe,700,29001682
Europe,800,31608816
Europe,900,34878727
Europe,1000,38321013
Europe,1100,46539710
Europe,1200,62154584
Europe,1300,85052141
Europe,1400,62702057
Europe,1500,80373725
Europe,1555,91707104
Europe,1600,103040484
Europe,1640,110000901
Europe,1700,116961318
Europe,1710,126227127
Europe,1720,133486417
Europe,1730,140970145
Europe,1740,148508951
Europe,1750,156132376
Europe,1760,163885196
Europe,1770,171739629
Europe,1780,180122175
Europe,1785,183089685
Europe,1788,186057195
Europe,1790,189024706
Europe,1800,195246412
Europe,1801,196163900
Europe,1802,197091497
Europe,1803,198029334
Europe,1804,198977552
Europe,1805,199936284
Europe,1806,200905670
Europe,1807,201885860
Europe,1808,202876988
Europe,1809,203879207
Europe,1810,205293947
Europe,1811,206739416
Europe,1812,208363539
Europe,1813,210176321
Europe,1814,212061105
Europe,1815,214020938
Europe,1816,216059046
Europe,1817,218178819
Europe,1818,220383835
Europe,1819,222539181
Europe,1820,224634727
Europe,1821,226663529
Europe,1822,228610294
Europe,1823,230462815
Europe,1824,232346822
Europe,1825,234266302
Europe,1826,236266191
Europe,1827,238299367
Europe,1828,240366179
Europe,1829,242421119
Europe,1830,244463657
Europe,1831,246452688
Europe,1832,248413681
Europe,1833,250345918
Europe,1834,252294529
Europe,1835,254259642
Europe,1836,256241422
Europe,1837,258240012
Europe,1838,260255558
Europe,1839,262182865
Europe,1840,264021827
Europe,1841,265776390
Europe,1842,267442396
Europe,1843,269019691
Europe,1844,270613451
Europe,1845,272223737
Europe,1846,273850606
Europe,1847,275494118
Europe,1848,277154332
Europe,1849,278843988
Europe,1850,280563177
Europe,1851,282296957
Europe,1852,284060448
Europe,1853,285853756
Europe,1854,287664342
Europe,1855,289492318
Europe,1856,291337788
Europe,1857,293200862
Europe,1858,295081660
Europe,1859,297016630
Europe,1860,299006005
Europe,1861,301044348
Europe,1862,303137514
Europe,1863,305285756
Europe,1864,307452989
Europe,1865,309639378
Europe,1866,311845106
Europe,1867,314070326
Europe,1868,316315237
Europe,1869,318617647
Europe,1870,320978594
Europe,1871,323347935
Europe,1872,325833688
Europe,1873,328381243
Europe,1874,330954015
Europe,1875,333552274
Europe,1876,336176289
Europe,1877,338826335
Europe,1878,341502689
Europe,1879,344193923
Europe,1880,346900038
Europe,1881,349618865
Europe,1882,352352550
Europe,1883,355101085
Europe,1884,357876262
Europe,1885,360678336
Europe,1886,363507582
Europe,1887,366364268
Europe,1888,369248658
Europe,1889,372180073
Europe,1890,375159225
Europe,1891,378195646
Europe,1892,381281398
Europe,1893,384417232
Europe,1894,387584725
Europe,1895,390784215
Europe,1896,394016054
Europe,1897,397280589
Europe,1898,400578175
Europe,1899,403943245
Europe,1900,407376724
Europe,1901,410885089
Europe,1902,414462290
Europe,1903,418110287
Europe,1904,421795972
Europe,1905,425519778
Europe,1906,429281149
Europe,1907,433083522
Europe,1908,436924353
Europe,1909,440230071
Europe,1910,442998937
Europe,1911,445190772
Europe,1912,446861974
Europe,1913,447992535
Europe,1914,449146596
Europe,1915,450267141
Europe,1916,451346165
Europe,1917,452420668
Europe,1918,453501709
Europe,1919,455053103
Europe,1920,457174311
Europe,1921,459698848
Europe,1922,462749182
Europe,1923,466215857
Europe,1924,469720801
Europe,1925,473281197
Europe,1926,476866241
Europe,1927,480475162
Europe,1928,484128179
Europe,1929,487757441
Europe,1930,491365411
Europe,1931,494952590
Europe,1932,498506429
Europe,1933,502023410
Europe,1934,505566146
Europe,1935,509132947
Europe,1936,512725136
Europe,1937,516346025
Europe,1938,519971943
Europe,1939,523558567
Europe,1940,526690458
Europe,1941,529458165
Europe,1942,531903080
Europe,1943,534125577
Europe,1944,536476656
Europe,1945,538373370
Europe,1946,539551787
Europe,1947,541177985
Europe,1948,543661411
Europe,1949,546600806
Europe,1950,549361682
Europe,1951,554336222
Europe,1952,559299025
Europe,1953,564660786
Europe,1954,570269625
Europe,1955,575977754
Europe,1956,581699676
Europe,1957,587740737
Europe,1958,594183460
Europe,1959,600394949
Europe,1960,606404009
Europe,1961,612457729
Europe,1962,618417566
Europe,1963,624200480
Europe,1964,629767760
Europe,1965,635030906
Europe,1966,640036994
Europe,1967,644732600
Europe,1968,649249404
Europe,1969,653780348
Europe,1970,657646308
Europe,1971,661610573
Europe,1972,666182813
Europe,1973,670465967
Europe,1974,674404989
Europe,1975,677939371
Europe,1976,681319207
Europe,1977,684767363
Europe,1978,688106257
Europe,1979,691423810
Europe,1980,694962025
Europe,1981,698282872
Europe,1982,701148276
Europe,1983,703986058
Europe,1984,706830247
Europe,1985,709671971
Europe,1986,712736045
Europe,1987,715923439
Europe,1988,719141825
Europe,1989,722202127
Europe,1990,724928030
Europe,1991,727282708
Europe,1992,728427305
Europe,1993,728832223
Europe,1994,729729624
Europe,1995,730243556
Europe,1996,730250394
Europe,1997,730322947
Europe,1998,729778939
Europe,1999,729149183
Europe,2000,729112155
Europe,2001,729202129
Europe,2002,730108231
Europe,2003,731376242
Europe,2004,732264288
Europe,2005,733082921
Europe,2006,733738758
Europe,2007,734969351
Europe,2008,736640719
Europe,2009,738045338
Europe,2010,739273391
Europe,2011,740505908
Europe,2012,741624513
Europe,2013,742654890
Europe,2014,743842712
Europe,2015,745456775
Europe,2016,747240427
Europe,2017,748683743
Europe,2018,749835851
Europe,2019,750791010
Europe,2020,750826495
Europe,2021,749931027
Europe,2022,748296158
Europe,2023,746948103
North America,-10000,1320316
North America,-9000,1565548
North America,-8000,1866660
North America,-7000,2237136
North America,-6000,2693852
North America,-5000,3257962
North America,-4000,3956046
North America,-3000,4821628
North America,-2000,5897151
North America,-1000,7236702
North America,0,8909778
North America,100,9407337
North America,200,9936028
North America,300,10498374
North America,400,11097217
North America,500,11735818
North America,600,12417980
North America,700,13148200
North America,800,13931926
North America,900,16092429
North America,1000,18142780
North America,1100,20391785
North America,1200,22763562
North America,1300,25204095
North America,1400,27818684
North America,1500,30605256
North America,1555,17285069
North America,1600,3964883
North America,1640,5441468
North America,1700,6918053
North America,1710,7798450
North America,1720,8700729
North America,1730,9624393
North America,1740,10573756
North America,1750,11553800
North America,1760,12570834
North America,1770,13632646
North America,1780,14762492
North America,1785,15160051
North America,1788,15558133
North America,1790,15956214
North America,1800,14838617
North America,1801,15067684
North America,1802,15302562
North America,1803,15543432
North America,1804,15790476
North America,1805,16043893
North America,1806,16303899
North America,1807,16570717
North America,1808,16844589
North America,1809,17125776
North America,1810,17467173
North America,1811,17807167
North America,1812,18170644
North America,1813,18557971
North America,1814,18955804
North America,1815,19364458
North America,1816,19784262
North America,1817,20215549
North America,1818,20658667
North America,1819,21090463
North America,1820,21510933
North America,1821,21914614
North America,1822,22306933
North America,1823,22690398
North America,1824,23086082
North America,1825,23494376
North America,1826,23915694
North America,1827,24350456
North America,1828,24799112
North America,1829,25266637
North America,1830,25752983
North America,1831,26258099
North America,1832,26781879
North America,1833,27324242
North America,1834,27879609
North America,1835,28450521
North America,1836,29036164
North America,1837,29636954
North America,1838,30253318
North America,1839,30898339
North America,1840,31573089
North America,1841,32282593
North America,1842,33024082
North America,1843,33798745
North America,1844,34595093
North America,1845,35413869
North America,1846,36255769
North America,1847,37121491
North America,1848,38011780
North America,1849,38929910
North America,1850,39876475
North America,1851,40842038
North America,1852,41836552
North America,1853,42860617
North America,1854,43912312
North America,1855,44992433
North America,1856,46101791
North America,1857,47241224
North America,1858,48411599
North America,1859,49534841
North America,1860,50608684
North America,1861,51632328
North America,1862,52601659
North America,1863,53514245
North America,1864,54446272
North America,1865,55398174
North America,1866,56370396
North America,1867,57363402
North America,1868,58377652
North America,1869,59427576
North America,1870,60513810
North America,1871,61637546
North America,1872,62798951
North America,1873,63998627
North America,1874,65223306
North America,1875,66473509
North America,1876,67749779
North America,1877,69052657
North America,1878,70382705
North America,1879,71736944
North America,1880,73115784
North America,1881,74519515
North America,1882,75948681
North America,1883,77403759
North America,1884,78888751
North America,1885,80404306
North America,1886,81951119
North America,1887,83529829
North America,1888,85141127
North America,1889,86734344
North America,1890,88308228
North America,1891,89862885
North America,1892,91395914
North America,1893,92905580
North America,1894,94441762
North America,1895,96004932
North America,1896,97595576
North America,1897,99214185
North America,1898,100861271
North America,1899,102568488
North America,1900,104337583
North America,1901,106181069
North America,1902,108089904
North America,1903,110066136
North America,1904,112080523
North America,1905,114133851
North America,1906,116226902
North America,1907,118360490
North America,1908,120535438
North America,1909,122613679
North America,1910,124592191
North America,1911,126466165
North America,1912,128233898
North America,1913,129892336
North America,1914,131576754
North America,1915,133287589
North America,1916,135025297
North America,1917,136790333
North America,1918,138627826
North America,1919,140539521
North America,1920,142526442
North America,1921,144590317
North America,1922,146732393
North America,1923,148952848
North America,1924,151207884
North America,1925,153498077
North America,1926,155824011
North America,1927,158186295
North America,1928,160585522
North America,1929,162832830
North America,1930,164924574
North America,1931,166858220
North America,1932,168628342
North America,1933,170231504
North America,1934,171853241
North America,1935,173493831
North America,1936,175153554
North America,1937,176832697
North America,1938,178531556
North America,1939,180525435
North America,1940,182823178
North America,1941,185449048
North America,1942,188396631
North America,1943,191675322
North America,1944,195019762
North America,1945,198431553
North America,1946,201912308
North America,1947,205463865
North America,1948,209087777
North America,1949,212901535
North America,1950,222818944
North America,1951,226777848
North America,1952,230880345
North America,1953,235114818
North America,1954,239512118
North America,1955,244056551
North America,1956,248743638
North America,1957,253588807
North America,1958,258514836
North America,1959,263669401
North America,1960,269079989
North America,1961,274662993
North America,1962,280344703
North America,1963,285962472
North America,1964,291551205
North America,1965,297056448
North America,1966,302406120
North America,1967,307620055
North America,1968,312721533
North America,1969,317807448
North America,1970,323225986
North America,1971,328861429
North America,1972,334187762
North America,1973,339231480
North America,1974,344226863
North America,1975,349224548
North America,1976,354178873
North America,1977,359152719
North America,1978,364168538
North America,1979,369229436
North America,1980,374396442
North America,1981,379564350
North America,1982,384744466
North America,1983,389995263
North America,1984,395240034
North America,1985,400471532
North America,1986,405669381
North America,1987,410877346
North America,1988,416201789
North America,1989,421643638
North America,1990,427527961
North America,1991,433792302
North America,1992,440060880
North America,1993,446185587
North America,1994,452083590
North America,1995,457858561
North America,1996,463530240
North America,1997,469106558
North America,1998,474677555
North America,1999,480238626
North America,2000,485805119
North America,2001,491432288
North America,2002,497028237
North America,2003,502587581
North America,2004,508166865
North America,2005,513798973
North America,2006,519545237
North America,2007,525495111
North America,2008,531569985
North America,2009,537617445
North America,2010,543593306
North America,2011,549552423
North America,2012,555486379
North America,2013,561345646
North America,2014,567078661
North America,2015,572637311
North America,2016,578186325
North America,2017,583669315
North America,2018,589049568
North America,2019,594346833
North America,2020,598250660
North America,2021,600876352
North America,2022,604356251
North America,2023,608770557
Oceania,-10000,493845
Oceania,-9000,498695
Oceania,-8000,505974
Oceania,-7000,516895
Oceania,-6000,533282
Oceania,-5000,557879
Oceania,-4000,594801
Oceania,-3000,650240
Oceania,-2000,733509
Oceania,-1000,858636
Oceania,0,1048919
Oceania,100,1077170
Oceania,200,1106872
Oceania,300,1138113
Oceania,400,1170980
Oceania,500,1205576
Oceania,600,1242015
Oceania,700,1280417
Oceania,800,1320926
Oceania,900,1363713
Oceania,1000,1408973
Oceania,1100,1456955
Oceania,1200,1507975
Oceania,1300,1567215
Oceania,1400,1626875
Oceania,1500,1751928
Oceania,1555,1817842
Oceania,1600,1883757
Oceania,1640,1951052
Oceania,1700,2018347
Oceania,1710,2017324
Oceania,1720,2027261
Oceania,1730,2037846
Oceania,1740,2049161
Oceania,1750,2061305
Oceania,1760,2074395
Oceania,1770,2088751
Oceania,1780,2104631
Oceania,1785,2110642
Oceania,1788,2116653
Oceania,1790,2124490
Oceania,1800,1620686
Oceania,1801,1620148
Oceania,1802,1619978
Oceania,1803,1620170
Oceania,1804,1620722
Oceania,1805,1621628
Oceania,1806,1622888
Oceania,1807,1624496
Oceania,1808,1626451
Oceania,1809,1628749
Oceania,1810,1631728
Oceania,1811,1634728
Oceania,1812,1638069
Oceania,1813,1641750
Oceania,1814,1645765
Oceania,1815,1650119
Oceania,1816,1654809
Oceania,1817,1659834
Oceania,1818,1665199
Oceania,1819,1670067
Oceania,1820,1674378
Oceania,1821,1678145
Oceania,1822,1681224
Oceania,1823,1683547
Oceania,1824,1685889
Oceania,1825,1688242
Oceania,1826,1690614
Oceania,1827,1693000
Oceania,1828,1695400
Oceania,1829,1698807
Oceania,1830,1703281
Oceania,1831,1708906
Oceania,1832,1715728
Oceania,1833,1723811
Oceania,1834,1732231
Oceania,1835,1740989
Oceania,1836,1750087
Oceania,1837,1759527
Oceania,1838,1769312
Oceania,1839,1781254
Oceania,1840,1795408
Oceania,1841,1811863
Oceania,1842,1830663
Oceania,1843,1851889
Oceania,1844,1872994
Oceania,1845,1894811
Oceania,1846,1917374
Oceania,1847,1940704
Oceania,1848,1964827
Oceania,1849,1995334
Oceania,1850,2032905
Oceania,1851,2078499
Oceania,1852,2132695
Oceania,1853,2196375
Oceania,1854,2264940
Oceania,1855,2338785
Oceania,1856,2418328
Oceania,1857,2504022
Oceania,1858,2596365
Oceania,1859,2683251
Oceania,1860,2763879
Oceania,1861,2837295
Oceania,1862,2902596
Oceania,1863,2958724
Oceania,1864,3017141
Oceania,1865,3077968
Oceania,1866,3141337
Oceania,1867,3207387
Oceania,1868,3276265
Oceania,1869,3343985
Oceania,1870,3410382
Oceania,1871,3475302
Oceania,1872,3538541
Oceania,1873,3599899
Oceania,1874,3663296
Oceania,1875,3728819
Oceania,1876,3796561
Oceania,1877,3866624
Oceania,1878,3939109
Oceania,1879,4016421
Oceania,1880,4098706
Oceania,1881,4186122
Oceania,1882,4278795
Oceania,1883,4376868
Oceania,1884,4478189
Oceania,1885,4582869
Oceania,1886,4691018
Oceania,1887,4802757
Oceania,1888,4918202
Oceania,1889,5026695
Oceania,1890,5127791
Oceania,1891,5221039
Oceania,1892,5305942
Oceania,1893,5381996
Oceania,1894,5459450
Oceania,1895,5538331
Oceania,1896,5618663
Oceania,1897,5700473
Oceania,1898,5783793
Oceania,1899,5868137
Oceania,1900,5953511
Oceania,1901,6041406
Oceania,1902,6130264
Oceania,1903,6220672
Oceania,1904,6312679
Oceania,1905,6406319
Oceania,1906,6501615
Oceania,1907,6598574
Oceania,1908,6697259
Oceania,1909,6790940
Oceania,1910,6880041
Oceania,1911,6964983
Oceania,1912,7046150
Oceania,1913,7123954
Oceania,1914,7205615
Oceania,1915,7291095
Oceania,1916,7380374
Oceania,1917,7473551
Oceania,1918,7570521
Oceania,1919,7675550
Oceania,1920,7788438
Oceania,1921,7909325
Oceania,1922,8037668
Oceania,1923,8173333
Oceania,1924,8311979
Oceania,1925,8453645
Oceania,1926,8598374
Oceania,1927,8746876
Oceania,1928,8898530
Oceania,1929,9040915
Oceania,1930,9174005
Oceania,1931,9297610
Oceania,1932,9411862
Oceania,1933,9516731
Oceania,1934,9624650
Oceania,1935,9735669
Oceania,1936,9849842
Oceania,1937,9967557
Oceania,1938,10088560
Oceania,1939,10225157
Oceania,1940,10377713
Oceania,1941,10550496
Oceania,1942,10740030
Oceania,1943,10946715
Oceania,1944,11158768
Oceania,1945,11376347
Oceania,1946,11599542
Oceania,1947,11829855
Oceania,1948,12066235
Oceania,1949,12315375
Oceania,1950,12582447
Oceania,1951,12915438
Oceania,1952,13229394
Oceania,1953,13527440
Oceania,1954,13824674
Oceania,1955,14145499
Oceania,1956,14484832
Oceania,1957,14825597
Oceania,1958,15166223
Oceania,1959,15510258
Oceania,1960,15862687
Oceania,1961,16216892
Oceania,1962,16560975
Oceania,1963,16904643
Oceania,1964,17254685
